Designator,Mid X,Mid Y,Rotation,Layer
J1,127.02,-82.5,90.0,top
J2,128.02,-96.0,90.0,top
R3,134.0,-79.0,180.0,top
R4,134.0,-87.0,180.0,top
U1,150.09816,-77.82792,0.0,top
