Designator,Mid X,Mid Y,Rotation,Layer
J2,156.29,-57.0,90.0,top
MOLEX1,107.0,-37.5,90.0,top
MOLEX2,107.0,-46.75,90.0,top
MOLEX3,107.21,-56.0,90.0,top
MOLEX4,107.25,-65.75,90.0,top
MOLEX5,107.25,-75.98,90.0,top
R1_5.6K1,147.75,-50.5,90.0,top
R2_5.6K1,147.75,-54.5,90.0,top
R3_10K1,114.75,-70.0625,90.0,top
R4_10K1,114.5,-56.5,90.0,top
U1,112.3625,-80.35,0.0,top
U2,132.43184,-59.41272,0.0,top
U3,112.1125,-43.6,0.0,top
