J2:1
MOLEX1:1
MOLEX2:1
MOLEX3:1
MOLEX4:1
MOLEX5:1
R1_5.6K1:1
R2_5.6K1:1
R3_10K1:1
R4_10K1:1
REF**:2
U1:1
U2:1
U3:1
